part_num,name,part_cat_id,part_material
3005,Brick 1 x 1,11,Plastic
3004,Brick 1 x 2,11,Plastic
3622,Brick 1 x 3,11,Plastic
3010,Brick 1 x 4,11,Plastic
3009,Brick 1 x 6,11,Plastic
3008,Brick 1 x 8,11,Plastic
3003,Brick 2 x 2,11,Plastic
3002,Brick 2 x 3,11,Plastic
3001,Brick 2 x 4,11,Plastic
2456,Brick 2 x 6,11,Plastic
3007,Brick 2 x 8,11,Plastic
